,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1994-12-31,22.40648144482802,173.99999999988864,174.0000000001005,22.40648144482802,22.40648144482802,151.59351855517065,151.59351855517065,151.59351855517065,151.59351855517065,151.59351855517065,151.59351855517065,0.0,0.0,0.0,173.99999999999866
1,1995-12-31,21.218611494538607,178.99999999987875,179.0000000000886,21.218611494538607,21.218611494538607,157.78138850546134,157.78138850546134,157.78138850546134,157.78138850546134,157.78138850546134,157.78138850546134,0.0,0.0,0.0,178.99999999999994
2,1996-12-31,40.533179618921466,182.99999999990476,183.0000000001229,40.533179618921466,40.533179618921466,142.46682038107895,142.46682038107895,142.46682038107895,142.46682038107895,142.46682038107895,142.46682038107895,0.0,0.0,0.0,183.0000000000004
3,1997-12-31,42.501664945878275,188.99999999988538,189.0000000001357,42.501664945878275,42.501664945878275,146.498335054121,146.498335054121,146.498335054121,146.498335054121,146.498335054121,146.498335054121,0.0,0.0,0.0,188.99999999999926
4,1998-12-31,55.406481444737835,206.9999999999033,207.00000000014586,55.406481444737835,55.406481444737835,151.59351855526185,151.59351855526185,151.59351855526185,151.59351855526185,151.59351855526185,151.59351855526185,0.0,0.0,0.0,206.9999999999997
5,1999-12-31,76.21861149481569,233.99999999986852,234.00000000010058,76.21861149481569,76.21861149481569,157.7813885051854,157.7813885051854,157.7813885051854,157.7813885051854,157.7813885051854,157.7813885051854,0.0,0.0,0.0,234.00000000000108
6,2000-12-31,78.03317961916804,220.49999999987125,220.50000000011664,78.03317961916804,78.03317961916804,142.46682038083154,142.46682038083154,142.46682038083154,142.46682038083154,142.46682038083154,142.46682038083154,0.0,0.0,0.0,220.49999999999957
7,2001-12-31,109.50166494584646,255.9999999998666,256.00000000009226,109.50166494584646,109.50166494584646,146.49833505415256,146.49833505415256,146.49833505415256,146.49833505415256,146.49833505415256,146.49833505415256,0.0,0.0,0.0,255.99999999999903
8,2002-12-31,118.40648144487076,269.9999999998747,270.00000000010556,118.40648144487076,118.40648144487076,151.59351855512855,151.59351855512855,151.59351855512855,151.59351855512855,151.59351855512855,151.59351855512855,0.0,0.0,0.0,269.9999999999993
9,2003-12-31,127.218611494642,284.9999999998754,285.00000000011823,127.218611494642,127.218611494642,157.78138850535726,157.78138850535726,157.78138850535726,157.78138850535726,157.78138850535726,157.78138850535726,0.0,0.0,0.0,284.99999999999926
10,2004-12-31,136.0548843664674,278.5217047472693,278.521704747836,136.0548843664674,136.0548843664674,142.46682038106547,142.46682038106547,142.46682038106547,142.46682038106547,142.46682038106547,142.46682038106547,0.0,0.0,0.0,278.5217047475329
11,2005-12-31,144.86701441623865,290.11562346045577,291.36534947091496,143.61728840678012,144.86701441623865,146.4983350540768,146.4983350540768,146.4983350540768,146.4983350540768,146.4983350540768,146.4983350540768,0.0,0.0,0.0,291.36534947031544
12,2006-12-31,153.6791444660099,297.0717396817583,307.69786258464813,145.47822112682258,156.10434402966806,151.5935185549519,151.5935185549519,151.5935185549519,151.5935185549519,151.5935185549519,151.5935185549519,0.0,0.0,0.0,305.2726630209618
13,2007-12-31,162.49127451578113,302.0413366700058,328.89809220690324,144.2599481649058,171.11670370168176,157.7813885055424,157.7813885055424,157.7813885055424,157.7813885055424,157.7813885055424,157.7813885055424,0.0,0.0,0.0,320.2726630213235
14,2008-12-31,171.32754738760653,280.6453710399967,329.4494970346133,138.17855065841945,186.98267665358782,142.46682038098953,142.46682038098953,142.46682038098953,142.46682038098953,142.46682038098953,142.46682038098953,0.0,0.0,0.0,313.7943677685961
15,2009-12-31,180.13967743737777,281.9900279533477,346.3476701106903,135.49169289926542,199.84933505624412,146.49833505416925,146.49833505416925,146.49833505416925,146.49833505416925,146.49833505416925,146.49833505416925,0.0,0.0,0.0,326.638012491547
16,2010-12-31,188.951807487149,283.01882280686044,370.29136144460335,131.42530425138747,218.6978428897364,151.5935185550585,151.5935185550585,151.5935185550585,151.5935185550585,151.5935185550585,151.5935185550585,0.0,0.0,0.0,340.54532604220753
17,2011-12-31,197.76393753692022,283.55853256570776,402.10960657864075,125.77714406032477,244.32821807312135,157.78138850528455,157.78138850528455,157.78138850528455,157.78138850528455,157.78138850528455,157.78138850528455,0.0,0.0,0.0,355.5453260422048
18,2012-12-31,206.60021040874565,258.65351840261144,401.34966677249247,116.18669802169129,258.88284639112896,142.46682038134017,142.46682038134017,142.46682038134017,142.46682038134017,142.46682038134017,142.46682038134017,0.0,0.0,0.0,349.0670307900858
19,2013-12-31,215.41234045851687,251.96509320636318,422.79328792821826,105.46675815181055,276.294952873947,146.4983350542897,146.4983350542897,146.4983350542897,146.4983350542897,146.4983350542897,146.4983350542897,0.0,0.0,0.0,361.91067551280656
